,city,latitude,longitude,temperature_farenheit,humidity_percent,cloudiness_percent,windspeed_mph
496,gamba,-2.65,10.0,74.93,82,84,5.79
497,marquette,46.53,-87.63,67.32,76,0,9.69
498,mehamn,71.04,27.85,59.0,72,45,6.93
499,neiafu,-18.65,-173.98,77.61,84,98,21.14
500,kovur,14.48,79.98,97.48,40,53,15.93
501,puerto del rosario,28.5,-13.86,77.0,73,20,16.11
502,teluk nibung,3.0,99.82,83.08,69,18,7.16
503,ende,-8.84,121.66,77.05,78,50,2.89
504,kalinovskoye,44.86,42.96,85.87,35,99,13.44
505,zeya,53.75,127.27,76.59,85,72,5.44
506,sovetskaya gavan,48.97,140.29,64.02,97,92,3.87
507,moron,-34.65,-58.62,47.23,94,69,6.67
508,rivera,-30.91,-55.55,43.61,97,70,6.64
509,craig,40.52,-107.55,58.57,67,1,3.49
510,pyaozerskiy,65.83,31.17,71.01,37,0,1.92
511,elk city,35.41,-99.4,77.7,61,1,6.93
512,namibe,-15.2,12.15,86.23,23,12,9.17
513,atherton,53.52,-2.49,68.0,67,22,1.99
514,luis correia,-2.88,-41.67,75.34,77,0,8.95
515,banda aceh,5.56,95.32,83.19,77,100,4.56
516,meadow lake,34.8,-106.54,67.55,60,75,9.17
517,somotillo,13.04,-86.91,73.54,79,30,2.71
518,alice springs,-23.7,133.88,57.2,24,10,6.93
519,peniche,39.36,-9.38,84.99,45,0,3.0
520,corn island,12.17,-83.04,81.54,78,82,13.11
521,rocha,-34.48,-54.33,43.25,93,0,5.06
522,baghdad,33.34,44.4,111.2,13,0,21.92
523,laje,-10.18,-40.97,64.56,82,84,10.58
524,yacuiba,-22.04,-63.68,56.26,82,68,2.1
525,leshukonskoye,64.9,45.76,69.46,57,30,6.89
526,katherine,-14.47,132.27,77.0,20,0,3.36
527,addanki,15.82,79.98,93.56,49,70,14.74
528,anchorage,61.22,-149.9,61.41,48,75,4.7
529,vestmannaeyjar,63.44,-20.27,48.2,81,40,25.28
530,scarborough,54.28,-0.4,67.24,72,7,1.99
531,lovington,32.94,-103.35,75.85,43,40,5.82
532,harper,4.38,-7.72,78.93,69,96,6.82
533,bogorodskoye,56.55,37.88,60.17,84,99,8.03
534,sayan,-11.14,-77.19,58.26,58,0,0.69
535,islahiye,37.02,36.63,87.71,43,13,17.22
536,chabahar,25.29,60.64,89.89,69,22,15.84
537,sinegorye,62.08,150.48,57.13,86,100,3.09
538,najibabad,29.63,78.33,100.49,37,46,6.62
539,kefamenanu,-9.45,124.48,71.62,83,24,4.76
540,ancud,-41.87,-73.82,49.01,100,90,14.99
541,fez,34.04,-5.0,96.8,28,11,6.93
542,springdale,36.19,-94.13,75.87,83,1,5.91
543,mpraeso,6.59,-0.73,72.95,85,94,4.25
544,raudeberg,61.99,5.14,58.57,93,75,25.28
545,sovetsk,55.08,21.88,73.62,57,16,6.67
546,kayerkan,69.35,87.76,55.4,62,75,20.13
547,aksarka,66.56,67.8,61.5,62,93,6.29
548,udachnyy,66.42,112.4,64.4,55,75,6.71
549,mahibadhoo,3.78,72.97,84.25,68,100,4.45
550,jagdalpur,19.07,82.03,84.4,66,68,9.98
551,senador jose porfirio,-2.59,-51.95,71.94,95,99,2.33
552,lexington,37.99,-84.48,72.3,94,90,4.7
553,suntar,62.14,117.63,68.31,57,93,4.63
554,shingu,33.73,135.98,71.6,100,75,6.93
555,inza,53.85,46.36,71.31,57,57,6.87
556,marktheidenfeld,49.84,9.6,64.44,72,25,3.02
557,fortuna,40.6,-124.16,54.91,100,90,4.7
558,urumqi,43.8,87.6,96.8,15,0,8.95
559,faya,18.39,42.45,86.0,17,20,12.75
